aa	e~e
personals	vEyakwika{@s}
personals'	vEyakwika{@s}{@vib:kA}
personal's	vEyakwika{@vib:kA}
personals'	vEyakwika^vyakwigawa{ba.}{@vib:kA}
personals	vEyakwika^vyakwigawa{@s}
personal's	vEyakwika^vyakwigawa{@vib:kA}
personal	vEyakwika[-]
personal	vEyakwika^vyakwigawa[-]
persona-non-grata	anaBimAnya/avAFCiwa~vyakwi
persona's	aBinaya{@vib:kA}
personate	prawirUpaNa~karanA
personation	prawirUpaNa
personator	CaxmaveSI
personification	mAnavIkaraNa{0}
personifications'	mAnavIkaraNa{ba.}{@vib:kA}
personifications	mAnavIkaraNa{@s}
personification's	mAnavIkaraNa{@vib:kA}
personified	mAnavIkaraNa~karanA^vicAra~prakata~karanA~{@ed/@en}
personifies	mAnavIkaraNa~karanA^vicAra~prakata~karanA~{@s}
personifying	mAnavIkaraNa~karanA^vicAra~prakata~karanA~{@ing}
personify	mAnavIkaraNa~karanA^vicAra~prakata~karanA{0}
personnel	karmacArI{0}
personnel	karmacArI~varga^karmacArI~viBAga{0}
personnels	karmacArI{@s}
personnels'	karmacArI{@s}{@vib:kA}
personnels'	karmacArI~varga^karmacArI~viBAga{ba.}{@vib:kA}
personnels	karmacArI~varga^karmacArI~viBAga{@s}
personnel's	karmacArI~varga^karmacArI~viBAga{@vib:kA}
personnel's	karmacArI{@vib:kA}
persons'	vyakwi^puruRa{ba.}{@vib:kA}
persons	vyakwi^puruRa{@s}
person's	vyakwi^puruRa{@vib:kA}
persons	vyakwi{@s}
persons'	vyakwi{@s}{@vib:kA}
person's	vyakwi{@vib:kA}
person	vyakwi{0}
person	vyakwi^puruRa{0}
perspective	pariprekRya{0}
perspective	pariprekRya{0}
perspectives'	pariprekRya{ba.}{@vib:kA}
perspectives	pariprekRya{@s}
perspectives	pariprekRya{@s}
perspectives'	pariprekRya{@s}{@vib:kA}
perspective's	pariprekRya{@vib:kA}
perspective's	pariprekRya{@vib:kA}
perspex	pAraxarSIyawA{0}
perspex's	pAraxarSIyawA{@vib:kA}
perspicaciouser	sUkRmaxarSI~{wara}
perspicaciousest	sUkRmaxarSI~{wama}
perspicacious	sUkRmaxarSI[-]
perspiration	pasInA{0}
perspirations'	pasInA{ba.}{@vib:kA}
perspirations	pasInA{@s}
perspiration's	pasInA{@vib:kA}
perspired	pasInA~bahAnA~{@ed/@en}
perspire	pasInA~bahAnA{0}
perspires	pasInA~bahAnA~{@s}
perspiring	pasInA~bahAnA~{@ing}
persuaded	manAnA~{@ed/@en}
persuaded	rAjI~kara^ke~lie~rAjI~karanA~{@ed/@en}
persuade	manAnA{0}
persuade	rAjI~kara^ke~lie~rAjI~karanA{0}
persuades	manAnA~{@s}
persuades	rAjI~kara^ke~lie~rAjI~karanA~{@s}
persuading	manAnA~{@ing}
persuading	rAjI~kara^ke~lie~rAjI~karanA~{@ing}
persual	avalokana/xeKanA
persuasion	anunaya^Xarma{0}
persuasions'	anunaya^Xarma{ba.}{@vib:kA}
persuasions	anunaya^Xarma{@s}
persuasion's	anunaya^Xarma{@vib:kA}
persuasive	praBAvapUrNa[-]
persuasiver	praBAvapUrNa~{wara}
persuasivest	praBAvapUrNa~{wama}
pers	vyakwi
pertained	se~sambanXa~raKanA^kA~honA~{@ed/@en}
pertained	se~sambanXa~raKa~{@ed/@en}
pertaining	se~sambanXa~raKanA^kA~honA~{@ing}
pertaining	se~sambanXa~raKa~{@ing}
pertain	se~sambanXa~raKanA^kA~honA{0}
pertain	se~sambanXa~raKa{0}
pertains	se~sambanXa~raKanA^kA~honA~{@s}
pertains	se~sambanXa~raKa~{@s}
perter	uxXawa~{wara}
pertest	uxXawa~{wama}
pertinaciouser	xqDa~prawijFa~{wara}
pertinaciousest	xqDa~prawijFa~{wama}
pertinacious	xqDa~prawijFa[-]
pertinenter	prAsafgika~{wara}
pertinentest	prAsafgika~{wama}
pertinentest	upayukwa~{wama}
pertinent	mahawvapUrNa{sanxarBa~meM}[-]
pertinent	prAsafgika[-]
perturbed	uxvigna~kara~xenA~{@ed/@en}
perturbing	uxvigna~kara~xenA~{@ing}
perturbs	uxvigna~kara~xenA~{@s}
perturb	uxvigna~kara~xenA{0}
pert	uxXawa[-]
perusal	avalokana
peruse	anuSIlana~karanA{0}
perused	anuSIlana~karanA~{@ed/@en}
peruses	anuSIlana~karanA~{@s}
perusing	anuSIlana~karanA~{@ing}
pervaded	meM~vyApwa~honA~{@ed/@en}
pervaded	meM~vyApwa~honA~{@ed/@en}
pervade	meM~vyApwa~honA{0}
pervade	meM~vyApwa~honA{0}
pervades	meM~vyApwa~honA~{@s}
pervades	meM~vyApwa~honA~{@s}
pervading	meM~vyApwa~honA~{@ing}
pervading	meM~vyApwa~honA~{@ing}
pervalent	pracalana
pervasiver	sarvavyApI~{wara}
pervasive	sarvavyApI[-]
pervasivest	sarvavyApI~{wama}
perverser	vikqwa~{wara}
perversest	vikqwa~{wama}
perverse	vikqwa[-]
perversion	kAmavikqwi^sahI~se~jalawa~meM~parivarwana{0}
perversions'	kAmavikqwi^sahI~se~jalawa~meM~parivarwana{ba.}{@vib:kA}
perversions	kAmavikqwi^sahI~se~jalawa~meM~parivarwana{@s}
perversion's	kAmavikqwi^sahI~se~jalawa~meM~parivarwana{@vib:kA}
perversities'	vikqwi{ba.}{@vib:kA}
perversities	vikqwi{@s}
perversity's	vikqwi{@vib:kA}
perversity	vikqwi{0}
perverteder	kAmavikqwa~{wara}
pervertedest	kAmavikqwa~{wama}
perverted	vikqwakAmI/xurupayoga~karanA^paWaBraRta~karanA~{@ed/@en}[-]
perverter	paWa~BraRta~karanevAlA{0}
perverters'	paWa~BraRta~karanevAlA{ba.}{@vib:kA}
perverters	paWa~BraRta~karanevAlA{@s}
perverter's	paWa~BraRta~karanevAlA{@vib:kA}
perverting	vikqwakAmI/xurupayoga~karanA^paWaBraRta~karanA~{@ing}
perverts'	vikqwakAmI/xurupayoga~karanA^paWaBraRta~karanA{ba.}{@vib:kA}
perverts	vikqwakAmI/xurupayoga~karanA^paWaBraRta~karanA~{@s}
pervert's	vikqwakAmI/xurupayoga~karanA^paWaBraRta~karanA{@vib:kA}
pervert	vikqwakAmI/xurupayoga~karanA^paWaBraRta~karanA{0}
peseta	spena~kI~muxrA{0}
pesetas'	spena~kI~muxrA{ba.}{@vib:kA}
pesetas	spena~kI~muxrA{@s}
peseta's	spena~kI~muxrA{@vib:kA}
peskier	wafga~karane~vAlA~{wara}
peskiest	wafga~karane~vAlA~{wama}
pesky	wafga~karane~vAlA[-]
peso	letina~amerikA~Ora~Pilippinsa~kI~muxrA{0}
pesos'	letina~amerikA~Ora~Pilippinsa~kI~muxrA{ba.}{@vib:kA}
pesos	letina~amerikA~Ora~Pilippinsa~kI~muxrA{@s}
peso's	letina~amerikA~Ora~Pilippinsa~kI~muxrA{@vib:kA}
pessaries'	pesarI^piMXA{ba.}{@vib:kA}
pessaries	pesarI^piMXA{@s}
pessary	pesarI^piMXA{0}
pessary's	pesarI^piMXA{@vib:kA}
pessimism	nirASAvAxa{0}
pessimisms'	nirASAvAxa{ba.}{@vib:kA}
pessimisms	nirASAvAxa{@s}
pessimism's	nirASAvAxa{@vib:kA}
pessimisticaler	nirASAvAxAwmaka~{wara}
pessimisticalest	nirASAvAxAwmaka~{wama}
pessimistical	nirASAvAxAwmaka[-]
pessimisticer	nirASAvAxAwmaka~{wara}
pessimisticest	nirASAvAxAwmaka~{wama}
pessimistic	nirASAvAxAwmaka[-]
pessimist	nirASAvAxa{0}
pessimists'	nirASAvAxa{ba.}{@vib:kA}
pessimists	nirASAvAxa{@s}
pessimist's	nirASAvAxa{@vib:kA}
pestered	sawAnA~{@ed/@en}
pestering	sawAnA~{@ing}
pester	sawAnA{0}
pesters	sawAnA~{@s}
pest	hAnikAraka~jIva^kaNtaka{0}
pesticide	kItanASakaxavA{0}
pesticides'	kItanASakaxavA{ba.}{@vib:kA}
pesticides	kItanASakaxavA{@s}
pesticide's	kItanASakaxavA{@vib:kA}
pestilence	mahAmArI{0}
pestilences'	mahAmArI{ba.}{@vib:kA}
pestilences	mahAmArI{@s}
pestilence's	mahAmArI{@vib:kA}
pestilentialer	pareSAna~karanevAlA^rogajanaka/GAwaka~{wara}
pestilentialest	pareSAna~karanevAlA^rogajanaka/GAwaka~{wama}
pestilential	pareSAna~karanevAlA^rogajanaka/GAwaka[-]
pestled	mUsalI~{@ed/@en}
pestle	mUsalI{0}
pestles'	mUsalI{ba.}{@vib:kA}
pestles	mUsalI~{@s}
pestle's	mUsalI{@vib:kA}
pestling	mUsalI~{@ing}
pests'	hAnikAraka~jIva^kaNtaka{ba.}{@vib:kA}
pests	hAnikAraka~jIva^kaNtaka{@s}
pest's	hAnikAraka~jIva^kaNtaka{@vib:kA}
petalled	pazKudIxAra[-]
petal	pazKudI{0}
petals'	pazKudI{ba.}{@vib:kA}
petals	pazKudI{@s}
petal's	pazKudI{@vib:kA}
peter	pItara
petiter	TiMganI~{wara}
petitest	TiMganI~{wama}
petite	TiMganI[-]
petition	Avexana{0}
petitioned	Avexana~{@ed/@en}
petitioned	nivexanapawra^arjI~{@ed/@en}
petitioner	arjIxAra{0}
petitioner	Avexaka{0}
petitioners'	arjIxAra{ba.}{@vib:kA}
petitioners	arjIxAra{@s}
petitioner's	arjIxAra{@vib:kA}
petitioners	Avexaka{@s}
petitioners'	Avexaka{@s}{@vib:kA}
petitioner's	Avexaka{@vib:kA}
petitioning	Avexana~{@ing}
petitioning	nivexanapawra^arjI~{@ing}
petition	nivexanapawra^arjI{0}
petitions	Avexana~{@s}
petitions'	Avexana{@s}{@vib:kA}
petition's	Avexana{@vib:kA}
petitions'	nivexanapawra^arjI{ba.}{@vib:kA}
petitions	nivexanapawra^arjI~{@s}
petition's	nivexanapawra^arjI{@vib:kA}
pet	pAlawU^priya{0}
petrel	samuxrakAka{0}
petrels'	samuxrakAka{ba.}{@vib:kA}
petrels	samuxrakAka{@s}
petrel's	samuxrakAka{@vib:kA}
petrifaction	paWarAnA{0}
petrifactions'	paWarAnA{ba.}{@vib:kA}
petrifactions	paWarAnA{@s}
petrifaction's	paWarAnA{@vib:kA}
petrification	paWarAnA{0}
petrifications'	paWarAnA{ba.}{@vib:kA}
petrifications	paWarAnA{@s}
petrification's	paWarAnA{@vib:kA}
petrified	aSmIkqwa~honA^paWarAnA~{@ed/@en}
petrifies	aSmIkqwa~honA^paWarAnA~{@s}
petrify	aSmIkqwa~honA^paWarAnA{0}
petrifying	aSmIkqwa~honA^paWarAnA~{@ing}
petrochemicaler	petro-rasAyana~{wara}
petrochemicalest	petro-rasAyana~{wama}
petrochemical	petro-rasAyana[-]
petrochemicals'	petro-rasAyana{ba.}{@vib:kA}
petrochemicals	petro-rasAyana{@s}
petrochemical's	petro-rasAyana{@vib:kA}
petroleum	petroliyama{0}
petroleums'	petroliyama{ba.}{@vib:kA}
petroleums	petroliyama{@s}
petroleum's	petroliyama{@vib:kA}
petrologies'	SElavijFAna{ba.}{@vib:kA}
petrologies	SElavijFAna{@s}
petrology	SElavijFAna{0}
petrology's	SElavijFAna{@vib:kA}
petrol	petrola{0}
petrols'	petrola{ba.}{@vib:kA}
petrols	petrola{@s}
petrol's	petrola{@vib:kA}
pets'	pAlawU^priya{ba.}{@vib:kA}
pets	pAlawU^priya~{@s}
pet's	pAlawU^priya{@vib:kA}
pets	xulArA^JuFJalAhata~{@s}
pets'	xulArA^JuFJalAhata{@s}{@vib:kA}
pet's	xulArA^JuFJalAhata{@vib:kA}
petted	pAlawU^priya~{@ed/@en}
petted	xulArA^JuFJalAhata~{@ed/@en}
petticoat	petIkota{0}
petticoats'	petIkota{ba.}{@vib:kA}
petticoats	petIkota{@s}
petticoat's	petIkota{@vib:kA}
pettier	nagaNya/wucCa^nIca~{wara}
petties	KuxarA~Karca
pettiest	nagaNya/wucCa^nIca~{wama}
petting	pAlawU^priya~{@ing}
petting	xulArA^JuFJalAhata~{@ing}
pettisher	wunakamijAja~{wara}
pettishest	wunakamijAja~{wama}
pettish	wunakamijAja[-]
petty	nagaNya/wucCa^nIca[-]
petulance	cidacidApana{0}
petulances'	cidacidApana{ba.}{@vib:kA}
petulances	cidacidApana{@s}
petulance's	cidacidApana{@vib:kA}
petulancies'	cidacidApana{ba.}{@vib:kA}
petulancies	cidacidApana{@s}
petulancy	cidacidApana{0}
petulancy's	cidacidApana{@vib:kA}
petulant	cidacidA[-]
petulanter	cidacidA~{wara}
petulantest	cidacidA~{wama}
petulantly	cidacidA~kara
petunia	sanXyA~mAlawI{0}
petunias'	sanXyA~mAlawI{ba.}{@vib:kA}
petunias	sanXyA~mAlawI{@s}
petunia's	sanXyA~mAlawI{@vib:kA}
pet	xulArA^JuFJalAhata{0}
pew	girajAGara~meM~Asana^Asana{0}
pewits'	titaharI{ba.}{@vib:kA}
pewits	titaharI{@s}
pewit's	titaharI{@vib:kA}
pewit	titaharI{0}
pews'	girajAGara~meM~Asana^Asana{ba.}{@vib:kA}
pews	girajAGara~meM~Asana^Asana{@s}
pew's	girajAGara~meM~Asana^Asana{@vib:kA}
pewterer	jaswA^jaswA~ke~barwana~{wara}
pewterest	jaswA^jaswA~ke~barwana~{wama}
pewter	jaswA^jaswA~ke~barwana[-]
pewters'	jaswA^jaswA~ke~barwana{ba.}{@vib:kA}
pewters	jaswA^jaswA~ke~barwana{@s}
pewter's	jaswA^jaswA~ke~barwana{@vib:kA}
pfennig	daca_kA_sikkA
PGCE	SikRASAswra~meM~snAwakowwara~sartiPiketa~korsa
pgt	pIjItI
phalanxes'	vyUha^safGatiwa~xala{ba.}{@vib:kA}
phalanxes	vyUha^safGatiwa~xala{@s}
phalanx's	vyUha^safGatiwa~xala{@vib:kA}
phalanx	vyUha^safGatiwa~xala{0}
phantasied	korI~kalpanA~{@ed/@en}
phantasied	svapnaciwra~{@ed/@en}
phantasies'	korI~kalpanA{ba.}{@vib:kA}
phantasies	korI~kalpanA~{@s}
phantasies	svapnaciwra~{@s}
phantasies'	svapnaciwra{@s}{@vib:kA}
phantasmagoria	mAyAjAla{0}
phantasmagorias'	mAyAjAla{ba.}{@vib:kA}
phantasmagorias	mAyAjAla{@s}
phantasmagoria's	mAyAjAla{@vib:kA}
phantasmagories'	mAyAjAla{ba.}{@vib:kA}
phantasmagories	mAyAjAla{@s}
phantasmagory	mAyAjAla{0}
phantasmagory's	mAyAjAla{@vib:kA}
phantasm	mohaCAyA{0}
phantasms'	mohaCAyA{ba.}{@vib:kA}
phantasms	mohaCAyA{@s}
phantasm's	mohaCAyA{@vib:kA}
phantasying	korI~kalpanA~{@ing}
phantasying	svapnaciwra~{@ing}
phantasy	korI~kalpanA{0}
phantasy's	korI~kalpanA{@vib:kA}
phantasy's	svapnaciwra{@vib:kA}
phantasy	svapnaciwra{0}
phantom	prewa^Brama{0}
phantoms'	prewa^Brama{ba.}{@vib:kA}
phantoms	prewa^Brama{@s}
phantom's	prewa^Brama{@vib:kA}
Pharaoh	prAcIna~misra~kA~rAjA{0}
Pharaohs'	prAcIna~misra~kA~rAjA{ba.}{@vib:kA}
Pharaohs	prAcIna~misra~kA~rAjA{@s}
Pharaoh's	prAcIna~misra~kA~rAjA{@vib:kA}
Pharisee	prAcIna~yahUxI~samparraxAya~kA~saxasya^xiKAvatI~nEwika~AcaraNa{0}
Pharisees'	prAcIna~yahUxI~samparraxAya~kA~saxasya^xiKAvatI~nEwika~AcaraNa{ba.}{@vib:kA}
Pharisees	prAcIna~yahUxI~samparraxAya~kA~saxasya^xiKAvatI~nEwika~AcaraNa{@s}
Pharisee's	prAcIna~yahUxI~samparraxAya~kA~saxasya^xiKAvatI~nEwika~AcaraNa{@vib:kA}
pharmacaler	ORaXIya~{wara}
pharmacalest	ORaXIya~{wama}
pharmacal	ORaXIya[-]
pharmaceuticaler	ORaXIya~{wara}
pharmaceuticalest	ORaXIya~{wama}
pharmaceutical	ORaXIya[-]
pharmaceuticer	ORaXIya~{wara}
pharmaceuticest	ORaXIya~{wama}
pharmaceutic	ORaXIya[-]
pharmaceutics	ORaXa-nirmANa-vijFAna{eka.ba.}
pharmaceutics'	ORaXa-nirmANa-vijFAna{@vib:kA}{ba.}+kA
pharmaceutist	ORaXajFa{0}
pharmaceutists'	ORaXajFa{ba.}{@vib:kA}
pharmaceutists	ORaXajFa{@s}
pharmaceutist's	ORaXajFa{@vib:kA}
pharmacies'	ORaXa~nirmANa~vijFAna^ORaXAlaya/ORaXaSAlA{ba.}{@vib:kA}
pharmacies	ORaXa~nirmANa~vijFAna^ORaXAlaya/ORaXaSAlA{@s}
pharmacist	ORaXajFa{0}
pharmacists'	ORaXajFa{ba.}{@vib:kA}
pharmacists	ORaXajFa{@s}
pharmacist's	ORaXajFa{@vib:kA}
pharmacognosist	BeRaja~aBijFAnI
pharmacologies'	ORaXa~vijFAna{ba.}{@vib:kA}
pharmacologies	ORaXa~vijFAna{@s}
pharmacologist	ORaXa~vijFAnI{0}
pharmacologists'	ORaXa~vijFAnI{ba.}{@vib:kA}
pharmacologists	ORaXa~vijFAnI{@s}
pharmacologist's	ORaXa~vijFAnI{@vib:kA}
pharmacology	ORaXa~vijFAna{0}
pharmacology's	ORaXa~vijFAna{@vib:kA}
pharmacopeia	ORaXa~koSa/BeRaja~safgraha{0}
pharmacopeias'	ORaXa~koSa/BeRaja~safgraha{ba.}{@vib:kA}
pharmacopeias	ORaXa~koSa/BeRaja~safgraha{@s}
pharmacopeia's	ORaXa~koSa/BeRaja~safgraha{@vib:kA}
pharmacopoeia	ORaXa~koSa/BeRaja~safgraha{0}
pharmacopoeias'	ORaXa~koSa/BeRaja~safgraha{ba.}{@vib:kA}
pharmacopoeias	ORaXa~koSa/BeRaja~safgraha{@s}
pharmacopoeia's	ORaXa~koSa/BeRaja~safgraha{@vib:kA}
pharmacy	ORaXa~nirmANa~vijFAna^ORaXAlaya/ORaXaSAlA{0}
pharmacy's	ORaXa~nirmANa~vijFAna^ORaXAlaya/ORaXaSAlA{@vib:kA}
pharynges	grasanI{@s}
pharynges's	grasanI{ba.}{@vib:kA}
pharyngitises'	grasanI~SoWa{ba.}{@vib:kA}
pharyngitises	grasanI~SoWa{@s}
pharyngitis	grasanI~SoWa{0}
pharyngitis's	grasanI~SoWa{@vib:kA}
pharynxes'	grasanI{ba.}{@vib:kA}
pharynxes	grasanI{@s}
pharynx	grasanI{0}
pharynx's	grasanI{@vib:kA}
phased	pahalU^kalA~{@ed/@en}
phased	xaSA^pahalU~{@ed/@en}
phase-out	kramaSaH~samApwa~karanA
phase	pahalU^kalA{0}
phases'	pahalU^kalA{ba.}{@vib:kA}
phases	pahalU^kalA~{@s}
phase's	pahalU^kalA{@vib:kA}
phases	xaSA^pahalU~{@s}
phases'	xaSA^pahalU{@s}{@vib:kA}
phase's	xaSA^pahalU{@vib:kA}
phase	xaSA^pahalU{0}
phasing	pahalU^kalA~{@ing}
phasing	xaSA^pahalU~{@ing}
Ph.D	pI.eca.dI
pheasant	cidA{0}
pheasants'	cidA{ba.}{@vib:kA}
pheasants	cidA{@s}
pheasant's	cidA{@vib:kA}
phelgmatic	kaPamaya/manxa
phenix	amarapakRI{0}
phenixes'	amarapakRI{ba.}{@vib:kA}
phenixes	amarapakRI{@s}
phenix's	amarapakRI{@vib:kA}
phenol	kArabAlika{0}
phenols'	kArabAlika{ba.}{@vib:kA}
phenols	kArabAlika{@s}
phenol's	kArabAlika{@vib:kA}
phenomena	iMxriyagocara{ulleKanIya}{@s}
phenomenal	asAXAraNa[-]
phenomenaler	asAXAraNa~{wara}
phenomenalest	asAXAraNa~{wama}
phenomena's	iMxriyagocara{ulleKanIya}{@s}{@vib:kA}
#phenomena's	xqgviRaya^asAXAraNa~vyakwi~yA~GatanA{@s}{@vib:kA}
phenomena's	xqgviRaya{ba.}{@vib:kA}
#phenomena	xqgviRaya^asAXAraNa~vyakwi~yA~GatanA{@s}
phenomena	xqgviRaya{@s}
phenomenologies'	xqSya-GatanA-vijFAna{ba.}{@vib:kA}
phenomenologies	xqSya-GatanA-vijFAna{@s}
phenomenology's	xqSya-GatanA-vijFAna{@vib:kA}
phenomenology	xqSya-GatanA-vijFAna{0}
phenomenon	iMxriyagocara{ulleKanIya}{0}
phenomenon's	iMxriyagocara{ulleKanIya}{@vib:kA}
#phenomenons	xqgviRaya^asAXAraNa~vyakwi~yA~GatanA{@s}
phenomenons	xqgviRaya^asAXAraNa~vyakwi~yA~GatanA{@s}
#phenomenons'	xqgviRaya^asAXAraNa~vyakwi~yA~GatanA{@s}{@vib:kA}
phenomenons'	xqgviRaya^asAXAraNa~vyakwi~yA~GatanA{@s}{@vib:kA}
#phenomenon's	xqgviRaya^asAXAraNa~vyakwi~yA~GatanA{@vib:kA}
phenomenons'	xqgviRaya{ba.}{@vib:kA}
phenomenons	xqgviRaya{@s}
phenomenon's	xqgviRaya{@vib:kA}
phenomenon	xqgviRaya{0}
#phenomenon	xqgviRaya^asAXAraNa~vyakwi~yA~GatanA{0}
pheromone	safkewa{0}
pheromones'	safkewa{ba.}{@vib:kA}
pheromones	safkewa{@s}
pheromone's	safkewa{@vib:kA}
phew	CIH
phial	SISI{0}
phials'	SISI{ba.}{@vib:kA}
phials	SISI{@s}
phial's	SISI{@vib:kA}
phig	bahuwa~KAnA
philalogist	BARASAswrI
philandered	irakabAjI~karanA~{@ed/@en}
philanderer	irakabAja{0}
philanderers'	irakabAja{ba.}{@vib:kA}
philanderers	irakabAja{@s}
philanderer's	irakabAja{@vib:kA}
philandering	irakabAjI~karanA~{@ing}
philander	irakabAjI~karanA{0}
philanders	irakabAjI~karanA~{@s}
philanthrope	mAnavapremI/lokopakAraka{0}
philanthropes'	mAnavapremI/lokopakAraka{ba.}{@vib:kA}
philanthropes	mAnavapremI/lokopakAraka{@s}
philanthrope's	mAnavapremI/lokopakAraka{@vib:kA}
philanthropicaler	lokopakArI~{wara}
philanthropicalest	lokopakArI~{wama}
philanthropical	lokopakArI[-]
philanthropicer	lokopakArI~{wara}
philanthropicest	lokopakArI~{wama}
philanthropic	lokopakArI[-]
philanthropies'	mAnavaprema{ba.}{@vib:kA}
philanthropies	mAnavaprema{@s}
philanthropist	mAnavapremI/lokopakAraka{0}
philanthropists'	mAnavapremI/lokopakAraka{ba.}{@vib:kA}
philanthropists	mAnavapremI/lokopakAraka{@s}
philanthropist's	mAnavapremI/lokopakAraka{@vib:kA}
philanthropy	mAnavaprema{0}
philanthropy's	mAnavaprema{@vib:kA}
philatelicer	tikata~safgrahaNa~karane~kA~{wara}
philatelicest	tikata~safgrahaNa~karane~wakA~{wama}
philatelic	tikata~safgrahaNa~karane~kA[-]
philatelies'	tikata~safgraha{ba.}{@vib:kA}
philatelies	tikata~safgraha{@s}
philatelists'	tikata~safgrahI{ba.}{@vib:kA}
philatelists	tikata~safgrahI{@s}
philatelist's	tikata~safgrahI{@vib:kA}
philatelist	tikata~safgrahI{0}
philately's	tikata~safgraha{@vib:kA}
philately	tikata~safgraha{0}
philharmonicer	safgIwa~premI~{wara}
philharmonicest	safgIwa~premI~{wama}
philharmonic	safgIwa~premI[-]
philharmonics'	safgIwa~premI{ba.}{@vib:kA}
philharmonics	safgIwa~premI{@s}
philharmonic's	safgIwa~premI{@vib:kA}
philip	Pilipa
philistines	viRayAsakwa{@s}
philistine	viRayAsakwa{0}
philologer	BARASAswrI{0}
philologers'	BARASAswrI{ba.}{@vib:kA}
philologers	BARASAswrI{@s}
philologer's	BARASAswrI{@vib:kA}
philological	BARASAswrIya[-]
philologicaler	BARASAswrIya~{wara}
philologicalest	BARASAswrIya~{wama}
philologies'	BARAsAswra{ba.}{@vib:kA}
philologies	BARAsAswra{@s}
philologist	BARASAswrI{0}
philologists'	BARASAswrI{ba.}{@vib:kA}
philologists	BARASAswrI{@s}
philologist's	BARASAswrI{@vib:kA}
philology	BARAsAswra{0}
philology's	BARAsAswra{@vib:kA}
Philo	premI
philosophers	wawwvajFa{@s}
philosophers'	wawwvajFa{@s}{@vib:kA}
philosopher's	wawwvajFa{@vib:kA}
philosophers'	xArSanika/wawwvajFa{ba.}{@vib:kA}
philosophers	xArSanika/wawwvajFa{@s}
philosopher's	xArSanika/wawwvajFa{@vib:kA}
philosopher	wawwvajFa{0}
philosopher	xArSanika/wawwvajFa{0}
philosophicaler	xArSanika~{wara}
philosophicalest	xArSanika~{wama}
philosophicalest	xArSanika~{wama}
philosophical	xArSanika-2[-]
philosophical	xArSanika[-]
philosophicer	xArSanika~{wara}
philosophicest	xArSanika~{wama}
philosophicest	xArSanika~{wama}
philosophic	xArSanika-1[-]
philosophic	xArSanika[-]
philosophies	wawwva~vijFAna^XErya{@s}
philosophies'	wawwva~vijFAna^XErya{@s}{@vib:kA}
philosophies'	xarSana^xarSana~[SAswra]{ba.}{@vib:kA}
philosophies	xarSana^xarSana~[SAswra]{@s}
philosophizing	manana~karanA~{@ing}
philosophy's	wawwva~vijFAna^XErya{@vib:kA}
philosophy's	xarSana^xarSana~[SAswra]{@vib:kA}
philosophy	xarSana_[SAswra]{0}
philosophy	xarSana^xarSana~[SAswra]{0}
philosphize	xArSanika~rUpa~meM~praswuwa~karanA
phlegm	balagama/SleRma/kaPa{0}
phlegms'	balagama/SleRma/kaPa{ba.}{@vib:kA}
phlegms	balagama/SleRma/kaPa{@s}
phlegm's	balagama/SleRma/kaPa{@vib:kA}
pH	mittI~meM~esida~mApaka
phobia	dara/BIwi{0}
phobias'	dara/BIwi{ba.}{@vib:kA}
phobias	dara/BIwi{@s}
phobia's	dara/BIwi{@vib:kA}
phobias	xahaSawa{@s}
phobias'	xahaSawa{@s}{@vib:kA}
phobia's	xahaSawa{@vib:kA}
phobia	xahaSawa{0}
phoenix	amarapakRI{0}
phoenixes'	amarapakRI{ba.}{@vib:kA}
phoenixes	amarapakRI{@s}
phoenix's	amarapakRI{@vib:kA}
phoned	Pona/svana~{@ed/@en}
phoned	telIPona/Pona~karanA~{@ed/@en}
phonemes'	XvanigrAma{ba.}{@vib:kA}
phonemes	XvanigrAma{@s}
phoneme's	XvanigrAma{@vib:kA}
phoneme	XvanigrAma{0}
phone	Pona/svana{0}
phones	Pona/svana~{@s}
phones'	Pona/svana{@s}{@vib:kA}
phone's	Pona/svana{@vib:kA}
phones'	telIPona/Pona~karanA{ba.}{@vib:kA}
phones	telIPona/Pona~karanA~{@s}
phone's	telIPona/Pona~karanA{@vib:kA}
phone	telIPona/Pona~karanA{0}
phoneticaly	svaraXvani~se
phoneticer	XvanyAwmaka~{wara}
phoneticest	XvanyAwmaka~{wama}
phonetics	svara~vijFAna{eka.ba.}
phonetics'	svara~vijFAna{@vib:kA}{ba.}+kA
phonetic	XvanyAwmaka[-]
phoney	kAlpanika[-]
phonier	kAlpanika~{wara}
phoniest	kAlpanika~{wama}
phoning	Pona/svana~{@ing}
phoning	telIPona/Pona~karanA~{@ing}
phonologicaler	XvanyAwmaka~{wara}
phonologicalest	XvanyAwmaka~{wama}
phonological	XvanyAwmaka[-]
phonologies'	svara~vijFAna{ba.}{@vib:kA}
phonologies	svara~vijFAna{@s}
phonology's	svara~vijFAna{@vib:kA}
phonology	svara~vijFAna{0}
phony	kAlpanika[-]
phooey	uP
phosphate	sPura-Amla~kRAra{0}
phosphates'	sPura-Amla~kRAra{ba.}{@vib:kA}
phosphates	sPura-Amla~kRAra{@s}
phosphate's	sPura-Amla~kRAra{@vib:kA}
phosphorescenter	sPuraxIpwa~{wara}
phosphorescentest	sPuraxIpwa~{wama}
phosphorescent	sPuraxIpwa[-]
phosphoruses'	PAsaPorasa{ba.}{@vib:kA}
phosphoruses	PAsaPorasa{@s}
phosphorus	PAsaPorasa{0}
phosphorus's	PAsaPorasa{@vib:kA}
photocopied	PotokApI~{@ed/@en}
